id,eval_id,experiment,subject,relation,object,out,OK,DIR,BOOL,LIT,LEX,SEM,ENT,DESC,COR,ref,rel_desc,semsim,contr,agree,perpl
84,1,rel2text_desc_concat/seed_1,CoBank,duns,75770271,Co bank has a duns number 075770271.,,,,,x,,,,,CoBank's DUNS number is 075770271.,The Dun  Bradstreet DUNS number for identifying an organization or business person.,5,0.6087285001,98.79202843,8.107946396
84,1,rel2text_mask_mask/seed_1,CoBank,duns,75770271,Co bank has a total assets of 075770271.,,,,,x,x,,,,CoBank's DUNS number is 075770271.,The Dun  Bradstreet DUNS number for identifying an organization or business person.,3.343589306,14.19748366,13.43009323,7.105403423
719,2,rel2text_mask_mask/seed_1,Radio Luxembourg,last air date,1992-12-30,Radio Luxembourg was launched on 1992-12-30.,,,,,,x,,,,The final air date of Radio Luxembourg was 1992-12-30.,The date on which the broadcaster made its last broadcast.,2.803017855,92.97352433,2.682263963,5.028964043
719,2,webnlg/seed_1,Radio Luxembourg,last air date,1992-12-30,The last air date of Radio Luxembourg was on the 30th December 1992.,,,,,,,,,,The final air date of Radio Luxembourg was 1992-12-30.,The date on which the broadcaster made its last broadcast.,5,0.2092510462,99.13732409,4.414208412
719,2,rel2text/seed_1,Radio Luxembourg,last air date,1992-12-30,Radio Luxembourg was last aired on 1992-12-30.,,,,,x,,,,,The final air date of Radio Luxembourg was 1992-12-30.,The date on which the broadcaster made its last broadcast.,5,0.19892829,99.38380122,4.964111328
719,2,rel2text_fewshot100/seed_1,Radio Luxembourg,last air date,1992-12-30,Radio Luxembourg's last air date was 1992-12-30.,,,,,,,,,,The final air date of Radio Luxembourg was 1992-12-30.,The date on which the broadcaster made its last broadcast.,5,0.1880888478,99.38752055,5.168408394
719,2,rel2text_desc_concat/seed_1,Radio Luxembourg,last air date,1992-12-30,Radio Luxembourg's last air date was 1992-12-30.,,,,,,,,,,The final air date of Radio Luxembourg was 1992-12-30.,The date on which the broadcaster made its last broadcast.,5,0.1880888478,99.38752055,5.168408394
719,2,kelm,Radio Luxembourg,last air date,1992-12-30,Radio Luxembourg was last air on 1992-12-30.,,,,,x,,,,,The final air date of Radio Luxembourg was 1992-12-30.,The date on which the broadcaster made its last broadcast.,5,0.2352368319,99.3232131,5.36466074
630,3,rel2text/seed_1,Kalatungan Mountain Range,highest,Mount Kalatungan,Kalatungan Mountain Range's highest mountain is Mount Kalatunan.,,,,,,,x,x,,Mount Kalatungan is the highest mountain in the Kalatungan Mountain Range.,The highest mountain of a mountain range.,5,0.349661964,99.05355573,4.784317493
630,3,rel2text_desc_concat/seed_1,Kalatungan Mountain Range,highest,Mount Kalatungan,Kalatungan Mountain Range is the highest mountain in the Kalatunan mountain range.,,,,,,x,,,,Mount Kalatungan is the highest mountain in the Kalatungan Mountain Range.,The highest mountain of a mountain range.,4.885200977,3.330034763,95.22819519,3.804980516
630,3,rel2text_fewshot100/seed_1,Kalatungan Mountain Range,highest,Mount Kalatungan,Kalatungan Mountain Range is the highest mountain in the Kalatunan Mountain Range.,,,,,,x,,,,Mount Kalatungan is the highest mountain in the Kalatungan Mountain Range.,The highest mountain of a mountain range.,4.878364563,4.137763381,94.2974925,3.860912085
630,3,webnlg/seed_1,Kalatungan Mountain Range,highest,Mount Kalatungan,The Kalatungan Mountain Range is the highest of Mount Kalatuna.,,x,,,,x,,,,Mount Kalatungan is the highest mountain in the Kalatungan Mountain Range.,The highest mountain of a mountain range.,4.770198822,33.11604857,57.15069771,4.544265747
630,3,rel2text_mask_mask/seed_1,Kalatungan Mountain Range,highest,Mount Kalatungan,Kalatungan Mountain Range is located on Mount Kalatunan.,,,,,,x,,,,Mount Kalatungan is the highest mountain in the Kalatungan Mountain Range.,The highest mountain of a mountain range.,3.869726419,9.245298803,83.15258026,4.587351322
630,3,kelm,Kalatungan Mountain Range,highest,Mount Kalatungan,The highest mountain in the Kalatungan Mountain Range is Mount Kalatunagan.,,,,,,,,,,Mount Kalatungan is the highest mountain in the Kalatungan Mountain Range.,The highest mountain of a mountain range.,5,0.1994434046,99.37065244,4.259123802
576,4,kelm,Primary interatrial foramen,organ system,Circulatory system,The primary interatrial foramen is part of the Circulatory system.,,,,,,,,x,,Primary interatrial foramen is part of the Circulatory system.,the organ system that a anatomical structure belongs to,5,0.1851426554,99.37670231,5.433003902
576,4,rel2text_desc_concat/seed_1,Primary interatrial foramen,organ system,Circulatory system,Primary interatrial foramen is part of the Circulatory system.,,,,,,,,,,Primary interatrial foramen is part of the Circulatory system.,the organ system that a anatomical structure belongs to,5,0.2134911483,99.31538105,5.783350468
576,4,rel2text_mask_mask/seed_1,Primary interatrial foramen,organ system,Circulatory system,Primary interatrial foramen is part of the Circulatory system.,,,,,,,,,,Primary interatrial foramen is part of the Circulatory system.,the organ system that a anatomical structure belongs to,5,0.2134911483,99.31538105,5.783350468
576,4,rel2text/seed_1,Primary interatrial foramen,organ system,Circulatory system,Primary interatrial foramen is part of the Circulatory system.,,,,,,,,,,Primary interatrial foramen is part of the Circulatory system.,the organ system that a anatomical structure belongs to,5,0.2134908456,99.31538105,5.783353329
576,4,rel2text_fewshot100/seed_1,Primary interatrial foramen,organ system,Circulatory system,Primary interatrial foramen is part of the Circulatory system.,,,,,,,,,,Primary interatrial foramen is part of the Circulatory system.,the organ system that a anatomical structure belongs to,5,0.2134911483,99.31538105,5.783350468
576,4,webnlg/seed_1,Primary interatrial foramen,organ system,Circulatory system,The primary interatrial foramen has a Circulatory system.,,,,,,x,,,,Primary interatrial foramen is part of the Circulatory system.,the organ system that a anatomical structure belongs to,5,0.8687176742,97.88185358,6.53844738
358,5,rel2text_desc_concat/seed_1,HLA-G,has molecular function,Plasma protein binding,HLA-G has a Plasma protein binding function.,,,,,,,,,,The molecular function of HLA-G is Plasma protein binding.,Molecular function performed by this BioChemEntity; please use PropertyValue if you want to include any evidence.,4.695614815,0.2125491388,99.30320978,6.603394985
358,5,kelm,HLA-G,has molecular function,Plasma protein binding,The HLA-G has a molecular function of plasma protein binding.,,,,x,,,,,,The molecular function of HLA-G is Plasma protein binding.,Molecular function performed by this BioChemEntity; please use PropertyValue if you want to include any evidence.,5,0.2760397969,99.2536664,5.317327023
358,5,rel2text/seed_1,HLA-G,has molecular function,Plasma protein binding,HLA-G has a Plasma protein binding function.,,,,,,,,,,The molecular function of HLA-G is Plasma protein binding.,Molecular function performed by this BioChemEntity; please use PropertyValue if you want to include any evidence.,4.695614338,0.2125490224,99.30320978,6.603396893
358,5,rel2text_fewshot100/seed_1,HLA-G,has molecular function,Plasma protein binding,HLA-G has molecular function of Plasma protein binding.,,,,x,,,,,,The molecular function of HLA-G is Plasma protein binding.,Molecular function performed by this BioChemEntity; please use PropertyValue if you want to include any evidence.,5,0.2913424745,99.18410778,6.889151096
358,5,rel2text_mask_mask/seed_1,HLA-G,has molecular function,Plasma protein binding,HLA-G is a protein that is regulated by Plasma protein binding.,,,,,,x,,,,The molecular function of HLA-G is Plasma protein binding.,Molecular function performed by this BioChemEntity; please use PropertyValue if you want to include any evidence.,4.480909824,0.1526882756,92.4937129,5.025956631
358,5,webnlg/seed_1,HLA-G,has molecular function,Plasma protein binding,HLA-G has a Plasma protein binding function.,,,,,,,,,,The molecular function of HLA-G is Plasma protein binding.,Molecular function performed by this BioChemEntity; please use PropertyValue if you want to include any evidence.,4.695614338,0.2125492319,99.30320978,6.603394985
240,6,rel2text/seed_1,The Fight Before Christmas,part of series,The Simpsons,The Fight Before Christmas is part of The Simpsons.,,,,x,,,,,,The Fight Before Christmas was an episode of The Simpsons.,The series to which this episode or season belongs.,4.644994259,0.5655957386,98.76582026,5.09967804
240,6,rel2text_fewshot100/seed_1,The Fight Before Christmas,part of series,The Simpsons,The Fight Before Christmas was part of series of The Simpsons.,,,,x,,,,,,The Fight Before Christmas was an episode of The Simpsons.,The series to which this episode or season belongs.,4.495296001,2.503785677,93.71144176,5.429980755
240,6,webnlg/seed_1,The Fight Before Christmas,part of series,The Simpsons,The Simpsons is the series that has The Fight Before Christmas as one of its episodes.,,,,,,,,,,The Fight Before Christmas was an episode of The Simpsons.,The series to which this episode or season belongs.,4.62974596,0.1632498577,98.93898368,4.420913219
240,6,rel2text_mask_mask/seed_1,The Fight Before Christmas,part of series,The Simpsons,The Fight Before Christmas was a parody of The Simpsons.,,,,,,x,,,,The Fight Before Christmas was an episode of The Simpsons.,The series to which this episode or season belongs.,4.736070156,44.17331219,14.37668353,4.390744209
240,6,rel2text_desc_concat/seed_1,The Fight Before Christmas,part of series,The Simpsons,The Fight Before Christmas is a part of The Simpsons.,,,,x,,,,,,The Fight Before Christmas was an episode of The Simpsons.,The series to which this episode or season belongs.,4.593647003,0.6057160441,98.70519638,4.659330845
240,6,kelm,The Fight Before Christmas,part of series,The Simpsons,The Fight Before Christmas is part of the Simpsons series.,,,,x,,,,,,The Fight Before Christmas was an episode of The Simpsons.,The series to which this episode or season belongs.,4.411846638,0.2716201358,98.63739014,4.831058025
1438,7,rel2text/seed_1,Tlatelolco metro station,visitors percentage change,-41.57,Tlatelolco metro station has a visitors percentage change of -41.57.,,,,x,,,,,,Tlatelolco metro station has seen a drop in visitors by -41.57 percent.,Percentage increase or decrease.,5,0.3049233928,99.23181534,5.785782814
1438,7,webnlg/seed_1,Tlatelolco metro station,visitors percentage change,-41.57,The Tlatelolco metro station has a visitors percentage change of -41.57.,,,,x,,,,,,Tlatelolco metro station has seen a drop in visitors by -41.57 percent.,Percentage increase or decrease.,5,0.3094076645,99.2264986,5.26801157
1438,7,kelm,Tlatelolco metro station,visitors percentage change,-41.57,The visitors percentage change of Tlatelolco metro station is -41.57.,,,,x,,,,,,Tlatelolco metro station has seen a drop in visitors by -41.57 percent.,Percentage increase or decrease.,4.932462692,0.2250210615,99.22915101,5.699870586
1438,7,rel2text_mask_mask/seed_1,Tlatelolco metro station,visitors percentage change,-41.57,Tlatelolco metro station has a fare of -41.57.,,,,,,x,,,,Tlatelolco metro station has seen a drop in visitors by -41.57 percent.,Percentage increase or decrease.,3.173460484,11.10342517,8.775471151,5.424477577
1438,7,rel2text_desc_concat/seed_1,Tlatelolco metro station,visitors percentage change,-41.57,Tlatelolco metro station has a visitors percentage change of -41.57.,,,,x,,,,,,Tlatelolco metro station has seen a drop in visitors by -41.57 percent.,Percentage increase or decrease.,5,0.3049230902,99.23181534,5.785784245
1438,7,rel2text_fewshot100/seed_1,Tlatelolco metro station,visitors percentage change,-41.57,Tlatelolco metro station has a visitors percentage change of -41.57.,,,,x,,,,,,Tlatelolco metro station has seen a drop in visitors by -41.57 percent.,Percentage increase or decrease.,5,0.3049230902,99.23181534,5.785784245
219,8,rel2text/seed_1,East Central Railway zone,sub organization,Dhanbad railway division,East Central Railway zone is a sub organization of Dhanbad railway division.,,x,,,,,,x,,East Central Railway zone owns the Dhanbad railway division.,"A relationship between two organizations where the first includes the second, e.g., as a subsidiary.",3.158858299,93.32569242,3.327418864,5.782537937
219,8,webnlg/seed_1,East Central Railway zone,sub organization,Dhanbad railway division,The East Central Railway zone has a sub organization called Dhanbad railway division.,,,,,,,,,,East Central Railway zone owns the Dhanbad railway division.,"A relationship between two organizations where the first includes the second, e.g., as a subsidiary.",3.590912819,8.124407381,78.8631618,5.948005676
219,8,rel2text_mask_mask/seed_1,East Central Railway zone,sub organization,Dhanbad railway division,East Central Railway zone is a division of Dhanbad railway division.,,x,,,,x,,,,East Central Railway zone owns the Dhanbad railway division.,"A relationship between two organizations where the first includes the second, e.g., as a subsidiary.",3.415694237,83.26098323,12.30216548,5.225261211
219,8,rel2text_fewshot100/seed_1,East Central Railway zone,sub organization,Dhanbad railway division,East Central Railway zone is a sub organization of Dhanbad railway division.,,x,,,,x,,,,East Central Railway zone owns the Dhanbad railway division.,"A relationship between two organizations where the first includes the second, e.g., as a subsidiary.",3.158857822,93.32569242,3.327415511,5.782538414
219,8,kelm,East Central Railway zone,sub organization,Dhanbad railway division,The East Central Railway zone is a sub organization of the Dhanbad railway division.,,x,,,,x,,,,East Central Railway zone owns the Dhanbad railway division.,"A relationship between two organizations where the first includes the second, e.g., as a subsidiary.",3.281654119,87.31364608,6.106395647,5.015713692
219,8,rel2text_desc_concat/seed_1,East Central Railway zone,sub organization,Dhanbad railway division,East Central Railway zone is a sub organization of Dhanbad railway division.,,x,,,,x,,,,East Central Railway zone owns the Dhanbad railway division.,"A relationship between two organizations where the first includes the second, e.g., as a subsidiary.",3.158857822,93.32569242,3.327415511,5.782538414
1549,9,webnlg/seed_1,Landwasser Viaduct,construction material,Limestone,The construction material of the Landwasser Viaduct is Limestone.,,,,x,,,x,,,Landwasser Viaduct is constructed with Limestone.,"Construction material (eg. concrete, steel, iron, stone, brick, wood).",5,0.4643389955,99.04718399,5.301277637
1549,9,rel2text_fewshot100/seed_1,Landwasser Viaduct,construction material,Limestone,Landwasser Viaduct was built using Limestone.,,,,,,,,,,Landwasser Viaduct is constructed with Limestone.,"Construction material (eg. concrete, steel, iron, stone, brick, wood).",5,0.3611939028,99.18085933,5.85327673
1549,9,rel2text_mask_mask/seed_1,Landwasser Viaduct,construction material,Limestone,Landwasser Viaduct crosses Limestone.,,,,,,x,,,,Landwasser Viaduct is constructed with Limestone.,"Construction material (eg. concrete, steel, iron, stone, brick, wood).",4.677857399,1.229744125,93.39866638,6.827908993
1549,9,rel2text_desc_concat/seed_1,Landwasser Viaduct,construction material,Limestone,Landwasser Viaduct was built using Limestone.,,,,,,,,,,Landwasser Viaduct is constructed with Limestone.,"Construction material (eg. concrete, steel, iron, stone, brick, wood).",5,0.3611939028,99.18085933,5.85327673
1549,9,kelm,Landwasser Viaduct,construction material,Limestone,The Landwasser Viaduct is made of limestone.,,,,,,,,,,Landwasser Viaduct is constructed with Limestone.,"Construction material (eg. concrete, steel, iron, stone, brick, wood).",5,0.2820313442,99.19242263,5.170425892
1549,9,rel2text/seed_1,Landwasser Viaduct,construction material,Limestone,Landwasser Viaduct was built using Limestone.,,,,,,,,,,Landwasser Viaduct is constructed with Limestone.,"Construction material (eg. concrete, steel, iron, stone, brick, wood).",5,0.3611939028,99.18085933,5.853280544
1146,10,rel2text_desc_concat/seed_1,2020 Oaxaca earthquake,casualties,10,2020 Oaxaca earthquake had 10 casualties.,,,,,,,,,,There were 10 casualties in the 2020 Oaxaca earthquake.,Number of casualties of a MilitaryConflict or natural disaster such as an Earthquake,5,0.1303008408,99.44524169,6.656171799
1146,10,rel2text_fewshot100/seed_1,2020 Oaxaca earthquake,casualties,10,The 2020 Oaxaca earthquake has 10 casualties.,,,,,,,,,,There were 10 casualties in the 2020 Oaxaca earthquake.,Number of casualties of a MilitaryConflict or natural disaster such as an Earthquake,5,0.1364115044,99.44717884,6.367688179
1146,10,webnlg/seed_1,2020 Oaxaca earthquake,casualties,10,The 2020 Oaxaca earthquake has 10 casualties.,,,,,,,,,,There were 10 casualties in the 2020 Oaxaca earthquake.,Number of casualties of a MilitaryConflict or natural disaster such as an Earthquake,5,0.1364114461,99.44717884,6.367688179
1146,10,kelm,2020 Oaxaca earthquake,casualties,10,The 2020 Oaxaca earthquake had 10 casualties.,,,,,,,,,,There were 10 casualties in the 2020 Oaxaca earthquake.,Number of casualties of a MilitaryConflict or natural disaster such as an Earthquake,5,0.1323700882,99.45454597,6.354758263
1146,10,rel2text/seed_1,2020 Oaxaca earthquake,casualties,10,The 2020 Oaxaca earthquake caused 10 casualties.,,,,,,,,,,There were 10 casualties in the 2020 Oaxaca earthquake.,Number of casualties of a MilitaryConflict or natural disaster such as an Earthquake,5,0.1320580952,99.44881797,6.15993166
1146,10,rel2text_mask_mask/seed_1,2020 Oaxaca earthquake,casualties,10,The 2020 Oaxaca earthquake had a magnitude of 10.,,,,,,x,,,,There were 10 casualties in the 2020 Oaxaca earthquake.,Number of casualties of a MilitaryConflict or natural disaster such as an Earthquake,3.976451397,0.7632465102,5.403668061,4.506099701
104,11,rel2text_desc_concat/seed_1,"Millicent Min, Girl Genius",in language,English language,"Millicent Min, Girl Genius is in English language.",,,,,,,x,,,"Millicent Min, Girl Genius is written in the English language.",The language of the content or performance or used in an action.,4.830925941,0.4551549442,99.00134802,6.202809334
104,11,kelm,"Millicent Min, Girl Genius",in language,English language,"Millicent Min, Girl Genius is written in English.",,,,,,,,,,"Millicent Min, Girl Genius is written in the English language.",The language of the content or performance or used in an action.,5,0.3728828393,99.12638664,5.77952528
104,11,rel2text_mask_mask/seed_1,"Millicent Min, Girl Genius",in language,English language,"Millicent Min, Girl Genius was written in the English language.",,,,,,,,,,"Millicent Min, Girl Genius is written in the English language.",The language of the content or performance or used in an action.,5,0.2022559755,99.35054779,5.12044239
104,11,webnlg/seed_1,"Millicent Min, Girl Genius",in language,English language,"The book ""Millicent Min, Girl Genius"" is written in English.",,,,,,,,,,"Millicent Min, Girl Genius is written in the English language.",The language of the content or performance or used in an action.,5,0.1930999104,98.71405959,4.852592468
104,11,rel2text_fewshot100/seed_1,"Millicent Min, Girl Genius",in language,English language,"Millicent Min, Girl Genius was born in the English language.",,,,,,x,,,,"Millicent Min, Girl Genius is written in the English language.",The language of the content or performance or used in an action.,3.484141827,3.645955026,46.78989649,5.452017784
104,11,rel2text/seed_1,"Millicent Min, Girl Genius",in language,English language,"Millicent Min, Girl Genius is written in English language.",,,,,,,,,,"Millicent Min, Girl Genius is written in the English language.",The language of the content or performance or used in an action.,5,0.2476627007,99.31060672,5.887615681
96,12,rel2text_fewshot100/seed_1,Insulin aspart,legal status,Prescription drug,Insulin aspart has legal status as a Prescription drug.,,,,x,,,,,,Insulin aspart has been approved as a prescription drug.,"The drug or supplements legal status, including any controlled substance schedules that apply.",4.678133965,0.246264087,98.59535098,5.714370251
96,12,kelm,Insulin aspart,legal status,Prescription drug,Insulin aspart is acription drug.,,,,,x,x,,,,Insulin aspart has been approved as a prescription drug.,"The drug or supplements legal status, including any controlled substance schedules that apply.",4.825644016,4.698615894,92.6564455,8.352578163
96,12,rel2text_mask_mask/seed_1,Insulin aspart,legal status,Prescription drug,Insulin aspart is a Prescription drug.,,,,,,,,,,Insulin aspart has been approved as a prescription drug.,"The drug or supplements legal status, including any controlled substance schedules that apply.",4.772081375,0.3118444933,99.14227128,6.411999702
96,12,rel2text_desc_concat/seed_1,Insulin aspart,legal status,Prescription drug,Insulin aspart is a Prescription drug.,,,,,,,,,,Insulin aspart has been approved as a prescription drug.,"The drug or supplements legal status, including any controlled substance schedules that apply.",4.772080898,0.3118447959,99.14227128,6.411999702
96,12,webnlg/seed_1,Insulin aspart,legal status,Prescription drug,Insulin aspart is a prescription drug.,,,,,,,,,,Insulin aspart has been approved as a prescription drug.,"The drug or supplements legal status, including any controlled substance schedules that apply.",4.706990719,0.3117743414,99.18293357,6.157416344
96,12,rel2text/seed_1,Insulin aspart,legal status,Prescription drug,Insulin aspart is a Prescription drug.,,,,,,,,,,Insulin aspart has been approved as a prescription drug.,"The drug or supplements legal status, including any controlled substance schedules that apply.",4.772081375,0.3118449589,99.14227128,6.411992073
230,13,rel2text_mask_mask/seed_1,Marisa Ferretti Barth,knows language,English language,Marisa Ferretti Barth speaks the English language.,,,,,,,,,,Marisa Ferretti Barth understands the English language.,"Of a [[Person]], and less typically of an [[Organization]], to indicate a known language.",3.733801842,5.887974054,72.09436893,6.145008564
230,13,webnlg/seed_1,Marisa Ferretti Barth,knows language,English language,Marisa Ferretti Barth knows the English language.,,,,,,,,,,Marisa Ferretti Barth understands the English language.,"Of a [[Person]], and less typically of an [[Organization]], to indicate a known language.",5,0.3523878986,98.99740219,6.065893173
230,13,rel2text/seed_1,Marisa Ferretti Barth,knows language,English language,Marisa Ferretti Barth speaks English language.,,,,,,,,,,Marisa Ferretti Barth understands the English language.,"Of a [[Person]], and less typically of an [[Organization]], to indicate a known language.",4.299001694,2.646367252,88.99309039,7.061730862
230,13,kelm,Marisa Ferretti Barth,knows language,English language,Marisa Ferretti Barth speaks English.,,,,,,,,,,Marisa Ferretti Barth understands the English language.,"Of a [[Person]], and less typically of an [[Organization]], to indicate a known language.",4.275681496,1.985984296,91.88558459,7.069112778
230,13,rel2text_desc_concat/seed_1,Marisa Ferretti Barth,knows language,English language,Marisa Ferretti Barth knows the English language.,,,,,,,,,,Marisa Ferretti Barth understands the English language.,"Of a [[Person]], and less typically of an [[Organization]], to indicate a known language.",5,0.3523873864,98.99740219,6.065893173
230,13,rel2text_fewshot100/seed_1,Marisa Ferretti Barth,knows language,English language,Marisa Ferretti Barth knows language.,,,,,,x,,,,Marisa Ferretti Barth understands the English language.,"Of a [[Person]], and less typically of an [[Organization]], to indicate a known language.",3.994855881,0.3088688944,98.14303517,7.442910194
561,14,rel2text_mask_mask/seed_1,Anesthesiology,focus,Anesthesia,Anesthesiology is a medical discipline that is related to Anesthesia.,,,,,,x,,x,,Anesthesiology is the study and use of Anesthesia.,Points out the subject or thing someone or something is focused on.,3.806846619,0.1314547961,96.84974551,3.893949747
561,14,rel2text_desc_concat/seed_1,Anesthesiology,focus,Anesthesia,Anesthesiology is a field that focuses on Anesthesia.,,,,,,,,,,Anesthesiology is the study and use of Anesthesia.,Points out the subject or thing someone or something is focused on.,4.211917877,0.09951425018,98.56187701,4.025502682
561,14,webnlg/seed_1,Anesthesiology,focus,Anesthesia,Anesthesiology has a focus on Anesthesia.,,,,x,,,,,,Anesthesiology is the study and use of Anesthesia.,Points out the subject or thing someone or something is focused on.,3.925996304,0.09069181979,95.66185474,4.84961319
561,14,rel2text_fewshot100/seed_1,Anesthesiology,focus,Anesthesia,Anesthesiology is the focus of Anesthesia.,,x,,,,,,,,Anesthesiology is the study and use of Anesthesia.,Points out the subject or thing someone or something is focused on.,4.098987103,0.9267451242,96.12622857,4.700113773
561,14,rel2text/seed_1,Anesthesiology,focus,Anesthesia,Anesthesiology is a specialist in Anesthesia.,,,,,,x,,,,Anesthesiology is the study and use of Anesthesia.,Points out the subject or thing someone or something is focused on.,3.515591621,0.3297748975,50.38297772,4.733736038
561,14,kelm,Anesthesiology,focus,Anesthesia,Anesthesiology is concerned with the study ofesthesia.,,,,,x,x,,,,Anesthesiology is the study and use of Anesthesia.,Points out the subject or thing someone or something is focused on.,4.033861637,1.080087107,96.93937302,5.079774857
610,15,rel2text/seed_1,Foulridge Tunnel,waterway through tunnel,Leeds and Liverpool Canal,Foulridge Tunnel is a waterway through the Leeds and Liverpool Canal.,,x,,x,x,x,,x,,The Foulridge Tunnel is part of the Leeds and Liverpool Canal.,Waterway that goes through the tunnel.,4.626570225,0.404636329,90.95432162,5.478688717
610,15,kelm,Foulridge Tunnel,waterway through tunnel,Leeds and Liverpool Canal,The Leeds and Liverpool Canal is the waterway through the Foulridge Tunnel.,,,,x,x,,,,,The Foulridge Tunnel is part of the Leeds and Liverpool Canal.,Waterway that goes through the tunnel.,4.524980545,0.09002623265,95.60126066,5.255934715
610,15,rel2text_desc_concat/seed_1,Foulridge Tunnel,waterway through tunnel,Leeds and Liverpool Canal,Foulridge Tunnel is a waterway through the Leeds and Liverpool Canal.,,x,,x,x,x,,,,The Foulridge Tunnel is part of the Leeds and Liverpool Canal.,Waterway that goes through the tunnel.,4.626570225,0.4046373069,90.9542799,5.478683949
610,15,rel2text_mask_mask/seed_1,Foulridge Tunnel,waterway through tunnel,Leeds and Liverpool Canal,Foulridge Tunnel is connected to the Leeds and Liverpool Canal.,,,,,,x,,,,The Foulridge Tunnel is part of the Leeds and Liverpool Canal.,Waterway that goes through the tunnel.,4.843263149,0.7007321808,98.11049104,5.867436886
610,15,webnlg/seed_1,Foulridge Tunnel,waterway through tunnel,Leeds and Liverpool Canal,The Foulridge Tunnel is a waterway through the Leeds and Liverpool Canal.,,x,,x,x,x,,,,The Foulridge Tunnel is part of the Leeds and Liverpool Canal.,Waterway that goes through the tunnel.,4.654392719,0.4960927181,85.49535871,4.732623577
610,15,rel2text_fewshot100/seed_1,Foulridge Tunnel,waterway through tunnel,Leeds and Liverpool Canal,The Foulridge Tunnel is a waterway through tunnel of the Leeds and Liverpool Canal.,,x,,x,x,x,,,,The Foulridge Tunnel is part of the Leeds and Liverpool Canal.,Waterway that goes through the tunnel.,4.539405823,2.011545002,61.20300293,4.900639534
1337,16,rel2text_mask_mask/seed_1,Viking,partial failed launches,4,Viking has 4 houses.,,,,,,x,,,,Viking had 4 partial failed launches.,total number of launches resulting in partial failure,1.573841333,96.459198,1.544547081,8.050336838
1337,16,kelm,Viking,partial failed launches,4,Viking has a partial failed launch of 4.,,,,x,x,,,,,Viking had 4 partial failed launches.,total number of launches resulting in partial failure,5,0.2151005436,99.31628704,6.723865509
1337,16,rel2text/seed_1,Viking,partial failed launches,4,Viking has 4 failed launches.,,,,,,x,,,,Viking had 4 partial failed launches.,total number of launches resulting in partial failure,4.16300106,0.2483701333,99.16073084,7.876882076
1337,16,rel2text_desc_concat/seed_1,Viking,partial failed launches,4,Viking had 4 successful launches.,,,,,,x,,,,Viking had 4 partial failed launches.,total number of launches resulting in partial failure,2.768234968,99.32830334,0.2832330531,7.462422848
